shapeid,lon,lat,Provider N,Network,Facility N,Address Li,City,State,Zip,County,Chain Orga,Profit or,Certificat,# of Dialy,Offers in-,addrtype,addrlocat
63,-122.3766383,40.6129821,552537,17,DCI REDDING,180 NORTHPOINT DRIVE,REDDING,CA,96003,SHASTA,"DIALYSIS CLINIC, INC.",Non-Profit,1/5/2005,24,TRUE,premise,ROOFTOP
64,-118.4869928,34.0263286,52665,18,DAVITA-SANTA MONICA DIALYSIS,"1260 15TH STREET, SUITE 102",SANTA MONICA,CA,90404,LOS ANGELES,DAVITA,Profit,9/1/1987,22,TRUE,subpremise,ROOFTOP
65,-119.0935203,35.3953311,552795,18,DAVITA-RIVERLAKES HOME TRAINING,"3933 COFFEE ROAD, SUITE A",BAKERSFIELD,CA,93308,KERN,DAVITA,Profit,10/17/2016,7,TRUE,subpremise,ROOFTOP
66,-118.1118564,33.9922793,552773,18,DAVITA-BLUFF RD DIALYSIS,100 W. WASHINGTON BLVD.,MONTEBELLO,CA,90640,LOS ANGELES,DAVITA,Profit,12/8/2014,24,TRUE,premise,ROOFTOP
67,-118.1257302,33.9308644,552624,18,DAVITA-DOWNEY LANDING DIALYSIS CENTER,11611 BELLFLOWER BLVD.,DOWNEY,CA,90241,LOS ANGELES,DAVITA,Profit,6/8/2009,25,TRUE,street_address,ROOFTOP
68,-121.6709968,36.6868014,552713,17,LAUREL MEADOWS DIALYSIS CENTER,"3 ROSSI CIRCLE, STE A",SALINAS,CA,93907,MONTEREY,DAVITA,Profit,4/10/2013,24,TRUE,subpremise,ROOFTOP
69,-118.0371643,34.0507984,52717,18,DAVITA-GREATER EL MONTE DIALYSIS CENTER,"1938 TYLER AVENUE, SUITE J-168",SOUTH EL MONTE,CA,91733,LOS ANGELES,DAVITA,Profit,10/15/1991,14,TRUE,subpremise,ROOFTOP
70,-117.0909462,32.799875,52779,18,"RAI CARE CENTERS OF SOUTHERN CALIFORNIA, LLC","7007 MISSION GORGE ROAD, 1ST FLOOR",SAN DIEGO,CA,92120,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,3/4/1996,33,TRUE,subpremise,ROOFTOP
71,-117.9597814,33.8391962,52862,18,FMC-NORTH ORANGE COUNTY,"511 N. BROOKHURST STREET, SUITE 100",ANAHEIM,CA,92801,ORANGE,FRESENIUS MEDICAL CARE,Profit,8/8/2000,18,TRUE,subpremise,ROOFTOP
72,-120.0513119,36.9461182,552564,17,ALMOND-WOOD DIALYSIS,501 E ALMOND AVENUE,MADERA,CA,93637,MADERA,DAVITA,Profit,8/23/2006,22,TRUE,premise,ROOFTOP
73,-117.835264,33.7477876,53527,18,ST. JOSEPH HOSPITAL DIALYSIS CENTER-SANTA ANA,"2212 E. 4TH STREET, SUITE 101",SANTA ANA,CA,92705,ORANGE,INDEPENDENT,Non-Profit,10/14/2009,30,TRUE,subpremise,ROOFTOP
74,-121.9315708,37.3112781,552767,17,SATELLITE HEALTHCARE SAN JOSE,888 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,SATELLITE HEALTHCARE,Non-Profit,12/2/2014,25,TRUE,street_address,ROOFTOP
75,-117.5869117,33.8768584,552826,18,DAVITA - CIRCLE CITY DIALYSIS,1180 W 6TH STREET,CORONA,CA,92882,RIVERSIDE,DAVITA,Profit,1/10/2018,32,TRUE,premise,ROOFTOP
76,-117.3305798,33.1863568,52834,18,U.S. RENAL CARE OCEANSIDE DIALYSIS,2227- B EL CAMINO REAL,OCEANSIDE,CA,92054,SAN DIEGO,"US RENAL CARE, INC.",Profit,7/10/1998,21,TRUE,street_address,ROOFTOP
77,-117.0549019,32.7546315,552513,18,DAVITA-COLLEGE DIALYSIS,6535 UNIVERSITY AVENUE,SAN DIEGO,CA,92115,SAN DIEGO,DAVITA,Profit,10/31/2003,20,TRUE,street_address,ROOFTOP
78,-117.0866712,32.5945476,52653,18,FMC-CHULA VISTA DIALYSIS CENTER-SOUTH,"2252 VERUS STREET, SUITE D",SAN DIEGO,CA,92154,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,1/1/1987,30,TRUE,subpremise,ROOFTOP
79,-117.8440556,33.8531351,52394,18,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM,"PERITONEAL DIALYSIS UNIT, 3460 E. LA PALMA AVENUE",ANAHEIM,CA,92806,ORANGE,KAISER PERMANENTE,Non-Profit,11/30/1999,4,FALSE,premise,ROOFTOP
80,-117.3314328,34.1649826,52743,18,DAVITA-MOUNTAIN VISTA DIALYSIS CENTER,4041 UNIVERSITY PARKWAY,SAN BERNARDINO,CA,92407,SAN BERNARDINO,DAVITA,Profit,1/1/1994,28,TRUE,premise,ROOFTOP
81,-117.9068887,33.6790264,552631,18,FMC-NEWPORT MESA DIALYSIS SERVICES,"1175 BAKER STREET, SUITE B",COSTA MESA,CA,92626,ORANGE,FRESENIUS MEDICAL CARE,Profit,10/15/2009,16,TRUE,subpremise,ROOFTOP
82,-120.9716335,37.5942946,552839,17,DAVITA WHITMORE DIALYSIS,1424 E. WHITMORE AVE,CERES,CA,95307,STANISLAUS,DAVITA,Profit,8/27/2018,24,TRUE,premise,ROOFTOP
83,-117.561849,33.9274135,552571,18,DAVITA-NORCO DIALYSIS CENTER,"1901 TOWN AND COUNTRY DRIVE, SUITE 100",NORCO,CA,92860,RIVERSIDE,DAVITA,Profit,2/16/2007,20,TRUE,subpremise,ROOFTOP
84,-122.5327922,37.9723753,552794,17,SAN RAFAEL DIALYSIS,1415 3RD STREET,SAN RAFAEL,CA,94901,MARIN,DAVITA,Profit,12/6/2016,24,TRUE,premise,ROOFTOP
85,-122.298622,38.3236475,52565,17,SILVERADO DIALYSIS,"1100 TRANCAS, SUITE 267",NAPA,CA,94558,NAPA,DAVITA,Profit,10/15/1980,10,TRUE,subpremise,ROOFTOP
86,-122.0857861,37.660414,52845,17,SOUTH HAYWARD DIALYSIS CENTER,254 JACKSON STREET,HAYWARD,CA,94544,ALAMEDA,DAVITA,Profit,4/23/1999,24,TRUE,premise,ROOFTOP
87,-120.5030008,37.3254532,552653,17,SATELLITE DIALYSIS MERCED,3376 NORTH HIGHWAY 59 SUITE I,MERCED,CA,95348,MERCED,SATELLITE HEALTHCARE,Non-Profit,6/16/2010,25,TRUE,subpremise,ROOFTOP
88,-117.1869021,33.746925,552715,18,DAVITA-SUN CITY MENIFEE DIALYSIS,1702 ILLINOIS AVENUE,PERRIS,CA,92571,RIVERSIDE,DAVITA,Profit,11/16/2012,24,TRUE,premise,ROOFTOP
89,-118.3975642,34.186535,52781,18,DAVITA-NORTH HOLLYWOOD DIALYSIS,12126 VICTORY BLVD.,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,DAVITA,Profit,3/11/1996,28,TRUE,street_address,ROOFTOP
90,-121.8370901,38.446077,552570,17,FMC SOLANO COUNTY,"125 NORTH LINCOLN STREET, SUITE B",DIXON,CA,95620,SOLANO,INDEPENDENT,Profit,11/17/2006,12,TRUE,subpremise,ROOFTOP
91,-121.7854767,37.9702347,552680,17,FMC EAST ANTIOCH,2163 COUNTRY HILLS DR,ANTIOCH,CA,94509,CONTRA COSTA,FRESENIUS MEDICAL CARE,Profit,6/27/2011,24,TRUE,premise,ROOFTOP
92,-118.7732902,34.2733412,552601,18,U.S. RENAL CARE SIMI DIALYSIS CENTER,"1407 E. LOS ANGELES AVENUE, SUITE G",SIMI VALLEY,CA,93065,VENTURA,"US RENAL CARE, INC.",Profit,7/31/2008,12,TRUE,subpremise,ROOFTOP
93,-121.7981153,39.7185282,552530,17,SOUTH CHICO DIALYSIS CENTER,2345 FOREST AVENUE,CHICO,CA,95928,BUTTE,DAVITA,Profit,8/11/2004,18,TRUE,premise,ROOFTOP
94,-119.1569676,34.2204957,52762,18,FMC-OXNARD,"1801 HOLSER WALK, SUITE 310",OXNARD,CA,93030,VENTURA,FRESENIUS MEDICAL CARE,Profit,6/12/1995,21,TRUE,subpremise,ROOFTOP
95,-117.9284243,33.6294093,552755,18,FMC-NEWPORT SUPERIOR DIALYSIS CENTER,"510 SUPERIOR AVENUE, SUITE 150",NEWPORT BEACH,CA,92663,ORANGE,FRESENIUS MEDICAL CARE,Profit,3/19/2014,18,TRUE,subpremise,ROOFTOP
96,-121.0046867,37.6436101,552536,17,SATELLITE DIALYSIS  CENTRAL MODESTO,"1315 10TH STREET, SUITE 300",MODESTO,CA,95354,STANISLAUS,SATELLITE HEALTHCARE,Non-Profit,12/17/2004,25,TRUE,subpremise,ROOFTOP
97,-118.5208483,34.1635704,52744,18,DAVITA-SOUTH VALLEY DIALYSIS,"17815 VENTURA BLVD., SUITE 100",ENCINO,CA,91316,LOS ANGELES,DAVITA,Profit,1/1/1994,25,TRUE,subpremise,ROOFTOP
98,-119.5727906,36.7061379,552650,17,SANGER SEQUOIA DIALYSIS CENTER,2517 JENSEN AVENUE BUILDING B,SANGER,CA,93657,FRESNO,DAVITA,Profit,3/10/2010,16,TRUE,subpremise,ROOFTOP
99,-117.1750479,33.6861111,552780,18,DAVITA-MENIFEE HOME DIALYSIS,"29878 HAUN ROAD, SUITE 100",MENIFEE,CA,92586,RIVERSIDE,DAVITA,Profit,9/2/2015,8,TRUE,subpremise,ROOFTOP
100,-118.0721213,33.9476143,52724,18,DAVITA-SFS DIALYSIS,"10012 NORWALK BLVD., SUITE 190",SANTA FE SPRINGS,CA,90670,LOS ANGELES,DAVITA,Profit,6/11/1992,24,TRUE,subpremise,ROOFTOP
101,-116.3627172,33.7467949,52657,18,FMC-RAI-CORPORATE WAY-PALM DESERT,41-501 CORPORATE WAY,PALM DESERT,CA,92260,RIVERSIDE,FRESENIUS MEDICAL CARE,Profit,3/16/1987,21,TRUE,premise,ROOFTOP
102,-117.8635147,34.1275126,552538,18,MOHAN DIALYSIS CENTER OF GLENDORA,638 S. GLENDORA AVENUE,GLENDORA,CA,91740,LOS ANGELES,INDEPENDENT,Profit,10/25/2004,21,TRUE,premise,ROOFTOP
103,-119.8802096,36.8343204,552782,17,FRESNO NORTH HOME TRAINING,6655 N. MILBURN,FRESNO,CA,93722,FRESNO,DAVITA,Profit,3/7/2016,0,TRUE,premise,ROOFTOP
104,-116.4066788,33.761595,52832,18,KIDNEY INSTITUTE AT EISENHOWER MEDICAL CENTER,"PROBST BUILDING 39000 BOB HOPE DRIVE, SUITE 103",RANCHO MIRAGE,CA,92270,RIVERSIDE,INDEPENDENT,Profit,3/25/1998,20,TRUE,doctor,GEOMETRIC_CENTER
105,-121.242863,37.796005,52723,17,MANTECA DIALYSIS CENTER,1620 WEST YOSEMITE AVE,MANTECA,CA,95337,SAN JOAQUIN,DAVITA,Profit,3/10/1992,8,TRUE,street_address,ROOFTOP
106,-118.0660654,34.0666299,552511,18,DAVITA-ROSEMEAD SPRINGS DIALYSIS CENTER,3212 ROSEMEAD BLVD.,EL MONTE,CA,91731,LOS ANGELES,DAVITA,Profit,7/7/2003,16,TRUE,street_address,ROOFTOP
107,-117.892585,34.0887403,52720,18,CITRUS DIALYSIS CENTER,"315 N. THIRD AVENUE, SUITE 104",COVINA,CA,91723,LOS ANGELES,INDEPENDENT,Profit,12/2/1991,22,TRUE,subpremise,ROOFTOP
108,-118.1165197,33.8905428,552588,18,DAVITA-BELLFLOWER DIALYSIS CENTER,15736 WOODRUFF AVENUE,BELLFLOWER,CA,90706,LOS ANGELES,DAVITA,Profit,10/19/2007,20,TRUE,premise,ROOFTOP
109,-116.5462942,33.8371259,52541,18,DAVITA-PALM SPRINGS DIALYSIS,1061 N. INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,DAVITA,Profit,10/18/1976,20,TRUE,premise,ROOFTOP
110,-121.2897266,38.0027,552592,17,STOCKTON KIDNEY CLINIC,1523 EAST MARCH LANE SUITE 200,STOCKTON,CA,95210,SAN JOAQUIN,DAVITA,Profit,11/28/2007,13,TRUE,subpremise,ROOFTOP
111,-119.8008192,36.2977343,552679,18,DAVITA-LEMOORE DIALYSIS,1345 W. BUSH STREET,LEMOORE,CA,93245,KINGS,DAVITA,Profit,6/30/2011,16,TRUE,premise,ROOFTOP
